"Diapositiva","NombreForma","TipoForma"
"57","PAPEL 8","6"
"58","PAPEL 9","6"
"59","PAPEL 10","6"
"60","PAPEL 11","6"
"61","PAPEL 12","6"
"62","FCP","17"
"62","FONDO 5","5"
"62","LINEA DE PUNTOS","6"
"62","PNG 2","1"
"62","PNG 5","1"
"62","NOMBRE","1"
"62","NOMBRE","1"
"63","FCP","17"
"63","FONDO 6","5"
"63","Group 81","6"
"63","PNG 2","1"
"63","PNG 4","1"
"63","NOMBRE","1"
"63","NOMBRE","1"
"64","FCP","17"
"64","FONDO 2","5"
"64","LINEA DE PUNTOS","6"
"64","PNG 1","1"
"64","PNG 3","1"
"64","PNG 4","1"
"64","PNG 6","1"
"64","PNG 9","1"
"64","EDAD","1"
"64","NOMBRE","1"
"65","FCP","17"
"65","FONDO 4","5"
"65","LINEA DE PUNTOS","6"
"65","PNG 1","1"
"65","DISEÑOTEXTO","1"
"65","NOMBRE","1"
"65","NOMBRE","1"
"66","FCP","17"
"66","FONDO 3","5"
"66","Group 106","6"
"66","PNG 2","1"
"66","PNG 10","1"
"66","NOMBRE","1"
"66","NOMBRE","1"
"67","FONDO 1","1"
"67","EDAD","1"
"67","NOMBRE","1"
"68","FONDO 2","1"
"68","EDAD","1"
"68","NOMBRE","1"
"69","FONDO 3","1"
"69","EDAD","1"
"69","NOMBRE","1"
